,placa,ESTADO_VENTA,Marca,Referencia,Modelo,KILOMETRAJE,id_veh,PRECIO_VENTA,Clase,valor_asegurado,Ciudad
52,KMT332,Usados,Renault,Sandero,2010,,8001122,20100000.0,AUTOMOVIL,24100.0,Bogotá
53,UGR164,Nuevos,Mazda,3 [3],2019,,5601141,74000000.0,AUTOMOVIL,66100.0,Cali
54,OMR077,Nuevos,Suzuki,Grand Vitara,2024,,8806032,128800000.0,CAMIONETA PASAJ.,115700.0,Bogotá
55,IBL391,Usados,Volkswagen,T-cross,2021,,9206077,92750000.0,CAMIONETA PASAJ.,79000.0,Cúcuta
56,OFB176,Usados,,,2011,,1606213,28418593.9121,CAMIONETA PASAJ.,31500.0,Bogotá
57,VXV869,Nuevos,Kia,Picanto [3],2022,,4601253,50900000.0,AUTOMOVIL,51200.0,Santa Marta
58,GDH807,Usados,Seat,Arona,2023,6272.0,8206013,78000000.0,CAMIONETA PASAJ.,78700.0,Cúcuta
59,BBN789,Nuevos,Mitsubishi,L200 [5] [fl],2023,6537.0,6221033,189000000.0,PICKUP DOBLE CAB,202300.0,Soacha
60,YMA277,Nuevos,Renault,Logan [2],2017,,8001174,37300000.0,AUTOMOVIL,35900.0,Cali
61,NPL596,Usados,Nissan,Versa,2013,,6401184,33700000.0,AUTOMOVIL,32900.0,Pereira
62,MNQ043,Nuevos,Nissan,Versa,2012,,6401184,36400000.0,AUTOMOVIL,28600.0,Cali
63,TLW554,Usados,Mazda,3,2013,88760.0,2432,44143000.0,,,Ibagué
64,AMZ916,Nuevos,Renault,Logan [2],2020,,8001174,44380000.0,AUTOMOVIL,0.0,Cartagena
65,QLP179,Nuevos,Jac,S2,2022,,11306015,62600000.0,CAMIONETA PASAJ.,58000.0,Soacha
66,AIZ884,Nuevos,Chevrolet,Tracker,2017,84850.0,1606229,54000000.0,CAMIONETA PASAJ.,55800.0,Bogotá
67,TXY391,Nuevos,Ford,Ranger,2023,,3021092,155305560.0,PICKUP DOBLE CAB,133100.0,Barranquilla
68,LSS007,Usados,Toyota,Fortuner [2],2021,,9006175,197000000.0,CAMIONETA PASAJ.,190800.0,Cúcuta
69,GHK379,Usados,Ford,Ecosport [2],2015,,3006130,44300000.0,CAMIONETA PASAJ.,42900.0,Cartagena
70,JQJ043,Nuevos,Karry,Yoyo,2023,0.0,41807001,68990000.0,CAMIONETA REPAR,46500.0,Santa Marta
71,DZF105,Nuevos,Peugeot,2008 [2],2022,0.0,6806061,86900000.0,CAMIONETA PASAJ.,73700.0,Barranquilla
72,OTG113,Usados,Renault,Captur,2021,11200.0,8006055,79500000.0,CAMIONETA PASAJ.,69000.0,Medellín
73,WPQ936,Usados,Mazda,2 [2],2013,,5601124,36600000.0,AUTOMOVIL,35200.0,Pereira
74,UYH036,Nuevos,Chevrolet,Spark [3],2011,,1601304,19700000.0,AUTOMOVIL,0.0,Bogotá
75,ICC694,Usados,Kia,Sportage [4],2012,,4606071,58800000.0,CAMIONETA PASAJ.,53400.0,Soledad
76,JGX942,Usados,Ford,Focus [3],2013,,3001131,42500000.0,AUTOMOVIL,38000.0,Medellín
77,NFQ858,Usados,Chevrolet,Sail,2013,,1601255,28000000.0,AUTOMOVIL,27100.0,Barranquilla
78,GRC598,Usados,Renault,Duster,2013,,8006033,38862500.0,CAMIONETA PASAJ.,39100.0,Cúcuta
79,MPW934,Nuevos,Suzuki,S.presso,2022,,8801056,39300000.0,AUTOMOVIL,36900.0,Medellín
80,PLV178,Nuevos,Piaggio,Vespa,2023,,7017025,13990000.0,MOTOCICLETA,14100.0,Soledad
81,BMQ513,Usados,Chevrolet,Sail,2013,,405,27186000.0,,,Medellín
82,VGM611,Usados,Mazda,2 [2],2015,,5601125,39600000.0,AUTOMOVIL,38900.0,Santa Marta
83,FHE057,Usados,Chevrolet,Tracker,2014,,1606222,43400000.0,CAMIONETA PASAJ.,37100.0,Bogotá
84,XGI834,Usados,Ford,Escape [3],2017,,3006137,81700000.0,CAMIONETA PASAJ.,71100.0,Bogotá
85,JAA342,Nuevos,Mercedes Benz,Glc 300,2021,,5806064,208800000.0,CAMIONETA PASAJ.,175900.0,Bucaramanga
86,JYB866,Nuevos,Suzuki,Swift [3],2022,,8801057,65000000.0,AUTOMOVIL,60200.0,Bogotá
87,HPB820,Usados,Chevrolet,Sail,2019,,1601312,36600000.0,AUTOMOVIL,33400.0,Ibagué
88,ROP130,Nuevos,Suzuki,Vitara,2023,,8808043,90800000.0,CAMPERO,93100.0,Bogotá
89,LDY110,Usados,Nissan,Versa,2020,,6401218,52300000.0,AUTOMOVIL,54900.0,Cali
90,BJA925,Nuevos,Nissan,Np 300 Frontier [2],2018,0.0,6420040,87900000.0,PICKUP SENCILLA,93400.0,Bogotá
91,TTF534,Usados,Hyundai,Tucson Ix 35,2015,,3208035,64000000.0,CAMPERO,59800.0,Medellín
92,EPK077,Usados,Honda,Crv [4],2012,,3408049,64000000.0,CAMPERO,56700.0,Soledad
93,ERM556,Usados,Chevrolet,Spark [3],2017,,1601304,37800000.0,AUTOMOVIL,34200.0,Soacha
94,ENQ023,Usados,Chevrolet,Captiva,2010,,1606211,29200000.0,CAMIONETA PASAJ.,27900.0,Pereira
95,OZG936,Nuevos,Mazda,2 [2],2023,0.0,5601151,80350000.0,AUTOMOVIL,0.0,Cali
96,CZC604,Usados,Chevrolet,Tracker,2014,,1606222,41700000.0,CAMIONETA PASAJ.,37100.0,Bogotá
97,MEI027,Usados,Mazda,2 [2],2011,101251.0,5601121,32200000.0,AUTOMOVIL,32900.0,Bogotá
98,XCD765,Usados,Volkswagen,Polo [5],2022,25265.0,9201260,65400000.0,AUTOMOVIL,65000.0,Bogotá
99,SNW264,Nuevos,Renault,Logan [2] [fl],2022,,8001201,53500000.0,AUTOMOVIL,49700.0,Barranquilla
100,WOX303,Usados,Kia,Rio,2019,,4601258,54400000.0,AUTOMOVIL,49100.0,Bucaramanga
101,IFS753,Usados,Suzuki,Swift [3],2023,,3499,48204000.0,,,Bogotá
102,ACZ771,Usados,Chevrolet,Spark [3],2018,,1601308,31400000.0,AUTOMOVIL,29200.0,Barranquilla
103,WPL125,Nuevos,Karry,Yoyo,2023,0.0,41807001,69990000.0,CAMIONETA REPAR,46500.0,Medellín
104,UWP159,Usados,,,2023,,15811002,168589400.004,CHASIS,0.0,Medellín
105,WAH002,Usados,Renault,Alaskan,2022,,8021007,138977000.0,PICKUP DOBLE CAB,126200.0,Medellín
106,FBB066,Usados,Mazda,2 [2],2013,,5601125,36000000.0,AUTOMOVIL,34700.0,Soacha
107,ALG127,Usados,Mazda,Cx30,2023,,5606101,118000000.0,CAMIONETA PASAJ.,109500.0,Barranquilla
108,AQX440,Usados,Chevrolet,Spark [3],2014,,1601275,30100000.0,AUTOMOVIL,29700.0,Bogotá
109,CMX239,Usados,Ford,Ecosport [2],2016,,3006132,46730000.0,CAMIONETA PASAJ.,43700.0,Bucaramanga
110,TZT928,Nuevos,Renault,Kwid,2022,,8001197,40920000.0,AUTOMOVIL,35400.0,Ibagué
111,ZTX103,Nuevos,Kia,Picanto [3],2023,0.0,4601292,60190000.0,AUTOMOVIL,0.0,Cartagena
112,QOS758,Nuevos,Foton,Frr-s,2023,0.0,18904066,170990000.0,CAMION,165600.0,Bogotá
113,PRD174,Usados,Toyota,Fortuner [2],2018,,9006163,148950000.0,CAMIONETA PASAJ.,144200.0,Bogotá
114,JYD702,Usados,Renault,Stepway,2019,,3246,53165000.0,,,Villavicencio
115,WCY507,Nuevos,Volkswagen,Gol [5],2022,,9201161,50990000.0,AUTOMOVIL,0.0,Cúcuta
116,CZC961,Nuevos,Mazda,Cx5 [fl],2020,,5606086,107900000.0,CAMIONETA PASAJ.,102900.0,Bogotá
117,TXS110,Nuevos,Ford,Ranger [5] [fl],2022,13134.0,3021085,235200000.0,PICKUP DOBLE CAB,225900.0,Barranquilla
118,PEE487,Usados,Mazda,3 [3],2021,,2432,95600000.0,,,Bogotá
119,AZJ884,Nuevos,Mazda,2 [2],2023,,5601190,68500000.0,AUTOMOVIL,74500.0,Bogotá
120,UKC701,Nuevos,Piaggio,Vespa,2023,,7017025,13990000.0,MOTOCICLETA,14100.0,Bogotá
121,AKW498,Nuevos,Mercedes Benz,Glb 200,2022,,5806080,185000000.0,CAMIONETA PASAJ.,157300.0,Bogotá
122,UQA480,Usados,Chevrolet,Sail,2017,,1601256,33900000.0,AUTOMOVIL,32000.0,Ibagué
123,POP480,Nuevos,Volkswagen,T-cross,2023,,9206078,92990000.0,CAMIONETA PASAJ.,0.0,Cali
124,FQW500,Usados,Nissan,Tiida Hb,2011,,6401174,25800000.0,AUTOMOVIL,27100.0,Medellín
125,UJV934,Usados,Chevrolet,Spark [3],2020,,1601335,41300000.0,AUTOMOVIL,41900.0,Medellín
126,ULB235,Usados,Ford,Fiesta [4],2015,,3001135,41700000.0,AUTOMOVIL,36200.0,Cali
127,KHE434,Usados,,,2016,,9201149,41618213.232,AUTOMOVIL,0.0,Cartagena
128,JJC054,Nuevos,Ford,Ecosport [2],2021,37410.0,3008062,86600000.0,CAMPERO,76400.0,Cartagena
129,ZJU027,Nuevos,Volkswagen,Gol [7],2018,,9201230,40000000.0,AUTOMOVIL,45700.0,Bucaramanga
130,HTK205,Nuevos,Volkswagen,T-cross,2024,,9206095,93990000.0,CAMIONETA PASAJ.,89200.0,Soacha
131,QUO626,Usados,Renault,Logan [2],2017,,8001173,34900000.0,AUTOMOVIL,33900.0,Bogotá
132,NZO912,Nuevos,Chevrolet,Van N400,2023,0.0,1607014,80522000.0,CAMIONETA REPAR,77000.0,Cartagena
133,TMZ147,Usados,Volkswagen,Jetta [5],2015,,9201179,39000000.0,AUTOMOVIL,37700.0,Medellín
134,LZJ867,Usados,Chevrolet,Spark [3],2015,,1601274,29850000.0,AUTOMOVIL,32600.0,Medellín
135,ELF088,Usados,Mercedes Benz,C 180,2012,,5801228,56700000.0,AUTOMOVIL,54800.0,Barranquilla
136,DOT657,Usados,Nissan,Kicks,2020,,6406132,71500000.0,CAMIONETA PASAJ.,75400.0,Medellín
137,ZYG660,Usados,Chevrolet,Spark [3],2011,,1601240,24300000.0,AUTOMOVIL,26200.0,Villavicencio
138,YPB500,Usados,Kia,Rio,2023,,4601305,68600000.0,AUTOMOVIL,66800.0,Soledad
139,HQD421,Usados,Ford,Ecosport [2],2020,23816.0,3006138,72600000.0,CAMIONETA PASAJ.,62200.0,Ibagué
140,ILA549,Nuevos,Ford,Ranger,2023,0.0,3021072,132990000.0,PICKUP DOBLE CAB,0.0,Bogotá
141,MLS311,Usados,Kia,Sportage [4],2015,,4606086,64800000.0,CAMIONETA PASAJ.,62000.0,Medellín
142,GEH172,Nuevos,Jmc,Jx,2023,,2061,92232000.0,,,Cali
143,MFH478,Nuevos,Volkswagen,Taos,2022,,9206089,121990000.0,CAMIONETA PASAJ.,112200.0,Soacha
144,CUC494,Usados,Renault,Captur,2022,,8006055,85500000.0,CAMIONETA PASAJ.,74100.0,Medellín
145,JKG528,Nuevos,Mazda,2 [2],2025,,2431,86200000.0,,,Ibagué
146,RHG782,Usados,Chevrolet,Spark [3],2014,,1601190,24800000.0,AUTOMOVIL,25100.0,Ibagué
147,QBG201,Nuevos,Mazda,2 [2],2022,,5601156,67759500.0,AUTOMOVIL,0.0,Bogotá
148,PET328,Nuevos,Volkswagen,Gol [7],2018,0.0,9201230,47200000.0,AUTOMOVIL,45700.0,Medellín
149,DHH325,Usados,Ford,Fiesta [4],2013,,3001124,32200000.0,AUTOMOVIL,31600.0,Soledad
150,VFS103,Usados,,,2023,,3201390,79020962.772,AUTOMOVIL,0.0,Santa Marta
151,WKA772,Usados,Renault,Duster,2015,,3259,41975000.0,,,Pereira
152,JRX896,Nuevos,Volkswagen,Amarok,2020,,9221015,104990000.0,PICKUP DOBLE CAB,0.0,Cali
153,ENE484,Nuevos,Foton,Mini Truck,2025,,18920004,85990000.0,PICKUP SENCILLA,65100.0,Medellín
154,JUG194,Nuevos,Mazda,Cx30,2024,,5606101,122400000.0,CAMIONETA PASAJ.,116900.0,Bucaramanga
155,URL140,Usados,Renault,Duster,2015,121123.0,8008006,48300000.0,CAMPERO,45200.0,Bucaramanga
156,HNU073,Nuevos,Mazda,3 [3],2024,,5601201,108100000.0,AUTOMOVIL,103500.0,Bogotá
157,VWN583,Usados,Chevrolet,Sail,2017,,1601254,32200000.0,AUTOMOVIL,30300.0,Cúcuta
158,QIS013,Usados,Kia,Rio R,2015,,4601186,38900000.0,AUTOMOVIL,35500.0,Medellín
159,AMN815,Nuevos,Suzuki,Swift [3],2020,,8801040,53500000.0,AUTOMOVIL,0.0,Cartagena
160,ZSH459,Nuevos,Kia,Sonet,2024,,4606148,90200000.0,CAMIONETA PASAJ.,90600.0,Cúcuta
161,BTD989,Nuevos,Renault,Logan [2],2019,16143.0,8001174,43900000.0,AUTOMOVIL,40000.0,Soledad
162,PVY125,Nuevos,Volkswagen,T-cross,2022,,9206085,93490000.0,CAMIONETA PASAJ.,82300.0,Cali
163,MXQ739,Usados,Bmw,M240i,2020,,801396,160975000.0,AUTOMOVIL,156900.0,Soledad
164,NXC491,Usados,Nissan,Qashqai [3],2016,,6408115,75200000.0,CAMPERO,71400.0,Bogotá
165,BWJ155,Nuevos,Mazda,3 [3],2025,,5601202,130400000.0,AUTOMOVIL,121300.0,Cartagena
166,HQS834,Usados,Chevrolet,Spark [3],2012,,1601240,27700000.0,AUTOMOVIL,29200.0,Santa Marta
167,YAQ067,Nuevos,Renault,Stepway [2] [fl],2022,,8001177,66690000.0,AUTOMOVIL,0.0,Soacha
168,FNF227,Nuevos,Renault,Duster Oroch,2017,,8021002,61000000.0,PICKUP DOBLE CAB,52000.0,Medellín
169,JCX131,Nuevos,Volkswagen,Nivus,2024,,9206083,100989999.0,CAMIONETA PASAJ.,93700.0,Villavicencio
170,OAO639,Usados,Suzuki,Swift [3],2016,,8801027,36000000.0,AUTOMOVIL,37500.0,Bogotá
171,MWL227,Usados,Chevrolet,Spark [3],2016,,1601275,32500000.0,AUTOMOVIL,32700.0,Cali
172,EMX744,Nuevos,Volkswagen,Taos,2022,,9206089,138990000.0,CAMIONETA PASAJ.,112200.0,Soacha
173,PIQ256,Nuevos,Volkswagen,T-cross,2022,,9206078,95990000.0,CAMIONETA PASAJ.,83700.0,Cali
174,MZN795,Usados,Chevrolet,Spark [3],2013,,1601240,28600000.0,AUTOMOVIL,30100.0,Bogotá
175,MAP164,Usados,Mitsubishi,L200 Sportero,2018,70713.0,6221026,125100000.0,PICKUP DOBLE CAB,114900.0,Medellín
176,CVT411,Nuevos,Chevrolet,Nhr [1],2023,,1611178,106810000.0,CHASIS,141000.0,Bogotá
177,XUY258,Usados,Mazda,Cx30,2022,39713.0,1998,97925000.0,,,Cali
178,EFR924,Usados,Renault,Duster,2017,,8008014,56900000.0,CAMPERO,53900.0,Medellín
179,QHM111,Usados,Kia,Sportage [4],2014,,4606078,53300000.0,CAMIONETA PASAJ.,53900.0,Medellín
180,YUL708,Usados,Renault,Sandero,2011,,1601205,19200000.0,AUTOMOVIL,24700.0,Santa Marta
181,EVN033,Usados,Chevrolet,Tracker,2015,,1606224,44900000.0,CAMIONETA PASAJ.,40000.0,Cali
182,VQP900,Usados,Chevrolet,Orlando,2013,,1606225,46200000.0,CAMIONETA PASAJ.,38000.0,Cali
183,NEN440,Nuevos,Volkswagen,T-cross,2023,,9206092,112990000.0,CAMIONETA PASAJ.,85500.0,Bogotá
184,UTQ127,Nuevos,Nissan,Kicks,2025,,6406142,96990100.0,CAMIONETA PASAJ.,95800.0,Bogotá
185,EHL582,Nuevos,Suzuki,S-cross,2020,,8806016,66300000.0,CAMIONETA PASAJ.,63000.0,Bogotá
186,JIM547,Usados,Ford,Ranger,2022,,3021082,159800000.0,PICKUP DOBLE CAB,149100.0,Barranquilla
187,SIW092,Nuevos,Mercedes Benz,Cla 35,2022,7536.0,5801333,228300000.0,AUTOMOVIL,176900.0,Cali
188,BHQ888,Usados,Volkswagen,Vento,2016,9669.0,9201213,41000000.0,AUTOMOVIL,36800.0,Medellín
189,TPU104,Nuevos,Renault,Captur,2024,,8006056,131990000.0,CAMIONETA PASAJ.,0.0,Soacha
190,AVU173,Usados,Renault,Sandero,2018,,8001190,38700000.0,AUTOMOVIL,37900.0,Cali
191,UVL702,Usados,Bmw,F 850,2021,,817073,66300000.0,MOTOCICLETA,66400.0,Barranquilla
192,THS002,Nuevos,Kia,Picanto [3],2022,,4601252,50100000.0,AUTOMOVIL,50000.0,Bogotá
193,RUM397,Nuevos,Volkswagen,T-cross,2024,2637.0,9206078,112990000.0,CAMIONETA PASAJ.,0.0,Bogotá
194,NXD174,Nuevos,Bmw,R,2021,,817074,120600000.0,MOTOCICLETA,92200.0,Ibagué
195,LYV175,Usados,Ford,Ranger,2020,11068.0,3021079,130775000.0,PICKUP DOBLE CAB,121400.0,Cartagena
196,YOU516,Usados,Chevrolet,Tracker,2014,,1606223,42400000.0,CAMIONETA PASAJ.,38200.0,Medellín
197,QSR398,Usados,Volkswagen,Gol [5],2012,,9201160,28500000.0,AUTOMOVIL,29300.0,Cali
198,QNM921,Nuevos,Ford,Fiesta [6],2012,,3001126,31000000.0,AUTOMOVIL,30600.0,Cali
199,OWJ995,Nuevos,Mazda,Cx30,2023,,5606103,121850000.0,CAMIONETA PASAJ.,0.0,Cali
200,CAJ786,Usados,,,2023,,4206060,91200000.0,CAMIONETA PASAJ.,0.0,Ibagué
201,ACR945,Nuevos,Honda,Wrv,2022,,3406039,86400000.0,CAMIONETA PASAJ.,68500.0,Cali
202,DRT925,Nuevos,Mazda,Cx30,2022,,5606099,106600000.0,CAMIONETA PASAJ.,92100.0,Medellín
203,NHZ191,Usados,Renault,Duster,2015,,8006034,47300000.0,CAMIONETA PASAJ.,44000.0,Cúcuta
204,PSC099,Nuevos,Renault,Kwid,2021,,8001213,43000000.0,AUTOMOVIL,36100.0,Bogotá
205,PFH290,Usados,Chevrolet,Spark [3],2015,,1601274,32200000.0,AUTOMOVIL,32600.0,Barranquilla
206,BJS960,Usados,Mazda,3 [3],2018,49183.0,5601143,75600000.0,AUTOMOVIL,66500.0,Cali
207,ORK763,Nuevos,Mazda,3 [3],2024,,5601183,112750000.0,AUTOMOVIL,0.0,Bogotá
208,DTS289,Usados,,,2023,15303.0,11311054,118000000.0,CHASIS,0.0,Bogotá
209,WJI800,Nuevos,Foton,Fhr,2025,,18904092,118490000.0,CAMION,102300.0,Cartagena
210,NVI920,Nuevos,Chevrolet,Beat,2020,,1601320,43500000.0,AUTOMOVIL,39300.0,Soledad
211,BZN035,Usados,Kia,Picanto [3],2022,,4601252,50100000.0,AUTOMOVIL,50000.0,Soacha
212,STW624,Usados,Chevrolet,Nhr [1],2020,,1612177,99300000.0,FURGON,99300.0,Bucaramanga
213,MEY972,Nuevos,Jmc,Jx,2021,,15804023,78500000.0,CAMION,78500.0,Villavicencio
214,ITX359,Usados,Renault,Sandero,2011,96269.0,8001119,22700000.0,AUTOMOVIL,23800.0,Cartagena
215,HUX868,Nuevos,Volkswagen,T-cross,2022,0.0,9206084,105300000.0,CAMIONETA PASAJ.,85100.0,Bogotá
216,JMU798,Nuevos,Ford,Bronco Sport,2023,,3006152,169300000.0,CAMIONETA PASAJ.,169300.0,Cali
217,MWK184,Nuevos,Audi,Q5 [2],2022,,608022,236900000.0,CAMPERO,187000.0,Bogotá
218,TTP532,Nuevos,Renault,Duster,2022,,8006050,82390000.0,CAMIONETA PASAJ.,0.0,Bogotá
219,DEF629,Usados,Ford,Fiesta [4],2014,,3001136,36500000.0,AUTOMOVIL,33600.0,Bogotá
220,SWF514,Nuevos,Chevrolet,Nlr,2023,0.0,1604104,134000000.0,CAMION,148500.0,Soledad
221,MIT057,Nuevos,Renault,Kwid,2022,,8001196,42400000.0,AUTOMOVIL,36000.0,Cúcuta
222,PAU565,Usados,Chevrolet,Aveo Emotion,2013,,1601203,29900000.0,AUTOMOVIL,28100.0,Soledad
223,FOU875,Usados,Mercedes Benz,Gla 200,2018,,5806063,110857000.0,CAMIONETA PASAJ.,90100.0,Bucaramanga
224,SNF616,Nuevos,Jac,Hfc1037,2020,,11321003,85400000.0,PICKUP DOBLE CAB,78900.0,Cartagena
225,MZG331,Nuevos,Jetour,X70,2023,0.0,43506002,112990000.0,CAMIONETA PASAJ.,96300.0,Soacha
226,MSY446,Usados,Mercedes Benz,Glc 250,2019,,5806050,164700000.0,CAMIONETA PASAJ.,164700.0,Cúcuta
227,YTQ242,Nuevos,Foton,Mini Truck,2024,1668.0,18920004,84990000.0,PICKUP SENCILLA,64400.0,Barranquilla
228,DBE646,Nuevos,Foton,Fhr,2023,,18904068,95000000.0,CAMION,133700.0,Cali
229,EEL487,Nuevos,Kia,Picanto [3],2022,,4601251,52500000.0,AUTOMOVIL,48200.0,Soacha
230,KNA828,Nuevos,Foton,Mini Truck,2022,0.0,18921005,63400000.0,PICKUP DOBLE CAB,52800.0,Cartagena
231,POZ239,Usados,Renault,Duster,2022,,8008018,85784838.0,CAMPERO,84200.0,Cali
232,KZG930,Nuevos,Renault,Stepway,2020,,8001177,55200000.0,AUTOMOVIL,52100.0,Cali
233,TVS404,Nuevos,Mitsubishi,Asx [fl],2021,,6206091,122900000.0,CAMIONETA PASAJ.,0.0,Bogotá
234,MQO003,Usados,Kia,Rio,2015,,2202,30038000.0,,,Cali
235,TMB350,Usados,Renault,Duster,2019,,8006052,61400000.0,CAMIONETA PASAJ.,58700.0,Cali
