,id_transaccion,id_vehiculo,fecha_trx,tipo_operacion,monto,tasa_interes,fecha_financiacion,id_deudor,edad_cliente,ingresos_mensuales,Ciudad_cliente
23,2035861,WSR818,27/09/2021,Leasing,69010021,,16/08/2021,7440126,41,20459158,Bogotá
24,5309437,KUB663,01/11/2024,Leasing,45811380,,19/07/2024,5128800,55,31041372,Medellín
25,1194713,IJH871,25/06/2022,Contado,146193603,,23/04/2022,7684044,57,25396222,Cali
26,3274978,BNR654,11/05/2024,Credito,145471137,Preferencial,26/02/2024,6995968,46,9925274,Medellín
27,6095501,NPG680,16/06/2021,Leasing,70796692,,22/04/2021,3795419,61,9689103,Soacha
28,9293929,PHV596,13/06/2021,Leasing,127254438,,04/04/2021,9022074,33,30454767,Cali
29,7031657,RJO181,08/01/2024,Credito,103383715,Premium,05/11/2023,9177703,30,18034731,Bogotá
30,4986344,FHT019,03/03/2024,Leasing,169009612,,24/12/2023,2791575,33,11700416,Bogotá
31,1116441,QRA515,17/12/2024,Leasing,67485386,,11/10/2024,7071927,39,3446166,Bogotá
32,7757659,KBD063,05/02/2021,Leasing,39446362,,31/12/2020,8871367,53,24765831,Cúcuta
33,4319547,SZY857,13/01/2022,Credito,56571908,Preferencial,18/10/2021,5819555,27,11754027,Ibagué
34,9896304,VZR074,04/12/2021,Credito,107258676,Premium,21/08/2021,8478576,58,26885803,Cúcuta
35,6575921,TRP618,25/10/2024,Credito,100315795,General,16/09/2024,8832386,48,23343594,Barranquilla
36,5495035,TCS900,16/10/2021,Contado,95845556,,08/08/2021,2839085,49,14366237,Cúcuta
37,3664387,FIQ621,27/09/2023,Leasing,23856660,,10/08/2023,2761328,59,5624127,Cali
38,5662777,OYY234,20/09/2023,Contado,113500810,,09/06/2023,4803573,29,7837625,Bogotá
39,2373578,DWI240,19/03/2022,Leasing,113956755,,10/02/2022,5874492,56,17076798,Soledad
40,2957383,CSQ657,04/11/2021,Contado,190603848,,11/08/2021,5065343,58,3998855,Bogotá
41,7040486,RWO976,02/05/2021,Credito,114564344,Premium,31/01/2021,7437952,51,16568321,Bogotá
42,4396255,QQU644,31/01/2021,Leasing,118840948,,30/11/2020,3377067,51,22624079,Bucaramanga
43,3757798,MYB214,10/04/2022,Contado,98511528,,09/02/2022,8005856,43,14924069,Soacha
44,1183337,MQG838,15/01/2023,Credito,112983645,Preferencial,23/11/2022,8626885,41,9861967,Barranquilla
45,4180352,IPW186,14/03/2021,Contado,140973968,,29/01/2021,6309749,33,17626973,Cali
46,3466974,SUF285,10/04/2023,Contado,68809629,,15/01/2023,1934298,45,28005363,Bogotá
47,3305328,AGE230,16/01/2021,Credito,134572048,General,23/11/2020,6109169,28,28437464,Bogotá
48,9539481,HXK599,24/09/2022,Leasing,134431050,,28/05/2022,4374055,60,16340017,Ibagué
49,3160670,CMR082,25/09/2024,Credito,123685766,Premium,24/07/2024,7781381,64,8808618,Bogotá
50,7234620,PZE603,17/05/2023,Credito,141986818,Premium,09/04/2023,9504712,28,17276490,Soacha
51,3302456,IQZ986,17/05/2023,Contado,120971587,,04/03/2023,9357062,32,18297123,Villavicencio
52,5291551,NFK536,19/07/2022,Contado,101781522,,04/05/2022,4641727,67,17481596,Cali
53,5663885,YNK291,29/09/2021,Contado,59105233,,16/08/2021,9993543,63,28942046,Bogotá
54,4858129,BKD283,07/03/2023,Credito,77817013,Preferencial,12/12/2022,5206731,47,12770883,Cartagena
55,1562770,TPV421,14/03/2023,Contado,122591666,,03/01/2023,1341948,64,32641893,Medellín
56,9834284,JET133,07/08/2021,Contado,89670034,,14/05/2021,1690081,35,31648015,Ibagué
57,1493096,APC362,23/09/2021,Leasing,129589647,,05/08/2021,2416285,36,3822922,Medellín
58,7612401,NPU958,26/09/2022,Contado,99567044,,21/07/2022,6379883,46,18249758,Barranquilla
59,3800264,UCT776,27/05/2022,Leasing,123006288,,17/02/2022,8765768,38,19093467,Soledad
60,8164192,VKS856,09/09/2021,Contado,20208069,,13/06/2021,2119625,46,22573504,Barranquilla
61,4277228,DEX455,06/01/2023,Leasing,24549794,,19/09/2022,8436939,24,20137642,Soacha
62,5646896,MNS790,10/07/2023,Contado,134981484,,01/06/2023,1847605,58,26313326,Cúcuta
63,9248107,ZGP910,08/10/2024,Leasing,102141955,,22/07/2024,9904190,30,29069860,Soacha
64,7753619,RJG816,26/11/2022,Leasing,88669306,,19/09/2022,5202163,29,15632717,Barranquilla
65,1255861,WAH847,07/10/2024,Contado,21846194,,15/08/2024,6454717,41,15948084,Bogotá
66,8035835,RIQ953,31/03/2021,Contado,135210608,,05/02/2021,8410231,46,5959768,Bogotá
67,4142802,WST467,14/03/2022,Contado,45087978,,21/01/2022,7791847,40,11869250,Soledad
68,9840331,ZUV851,09/12/2023,Leasing,104103208,,05/10/2023,2061350,54,15985680,Bogotá
69,4012966,RRU023,01/06/2022,Credito,77470422,General,13/03/2022,1163575,65,2717741,Bogotá
70,9328506,QCC639,26/02/2024,Credito,62651046,Premium,05/12/2023,1362112,35,30656718,Ibagué
71,7006438,YAQ067,15/12/2021,Leasing,59587751,,25/10/2021,3301408,64,25192832,Bucaramanga
72,4888219,UWU063,31/10/2023,Contado,115148905,,12/09/2023,8988892,47,19014309,Cartagena
73,4081619,DPM006,02/07/2022,Contado,120945204,,19/03/2022,5866327,53,16981676,Cali
74,4338944,MYI292,25/09/2021,Contado,188960999,,31/05/2021,5105784,60,28640839,Soacha
75,2706773,KNY042,25/04/2023,Credito,145484498,Preferencial,11/03/2023,4776560,64,18413668,Soacha
76,7068428,IGH075,15/08/2023,Credito,142379118,Preferencial,08/05/2023,5566643,38,29196832,Cúcuta
77,7031072,XJE287,04/05/2024,Credito,119539967,Premium,08/03/2024,7354388,39,24593069,Cali
78,8803770,DBX028,23/08/2023,Leasing,68346696,,02/06/2023,3014332,61,20743227,Villavicencio
79,4793070,OCY386,21/10/2022,Leasing,71485583,,08/07/2022,3344275,33,28251607,Barranquilla
80,8923957,KSW322,16/01/2021,Credito,47487237,Preferencial,03/12/2020,8611811,38,3778990,Medellín
81,3923356,CXU976,21/12/2021,Leasing,101711487,,02/11/2021,2057575,39,29822273,Villavicencio
82,3361083,LHO735,06/07/2024,Leasing,103470459,,17/03/2024,3708511,62,6533643,Bogotá
83,9522927,OQT117,17/10/2021,Contado,94447303,,24/07/2021,8306539,65,32026219,Bogotá
84,9851216,GRH973,06/02/2022,Credito,99804963,Preferencial,19/10/2021,2099988,61,16662971,Bogotá
85,4035840,MFN767,07/07/2024,Credito,47278744,Premium,12/04/2024,8814195,50,5057663,Cartagena
86,4204790,YKL214,23/11/2021,Contado,56001770,,18/09/2021,4441637,33,6479316,Bogotá
87,8101580,GWY890,27/11/2021,Contado,84737093,,26/08/2021,4755969,44,32899884,Bogotá
88,9358357,IBD568,17/01/2024,Credito,135019825,Premium,29/09/2023,3940274,23,18767257,Bogotá
89,2261985,QIB437,10/08/2023,Leasing,144165632,,21/05/2023,3141141,45,12888780,Cali
90,9486334,RHF102,26/10/2024,Contado,112711702,,16/09/2024,4893387,67,21059991,Bogotá
91,9335393,MQB390,11/10/2023,Leasing,142482823,,07/08/2023,7901586,22,28093558,Bucaramanga
92,5769045,MKQ503,11/06/2023,Credito,54539908,Premium,09/05/2023,9161681,32,15381117,Medellín
93,6557364,RIL148,28/10/2024,Credito,73337363,General,21/08/2024,8875445,52,32752932,Ibagué
94,3984487,HWB920,16/02/2021,Leasing,52604652,,21/10/2020,8782625,61,4855088,Cartagena
95,4234836,ZUM551,04/05/2023,Contado,89740622,,13/02/2023,4990928,29,24537848,Villavicencio
96,3824658,OEH167,25/02/2022,Credito,96611503,Preferencial,30/11/2021,7574347,50,22782254,Villavicencio
97,1024741,QVN626,10/02/2021,Contado,67445909,,18/11/2020,5352356,46,20896117,Cali
98,6493309,JHQ024,13/07/2024,Credito,71388554,Preferencial,02/06/2024,2555410,41,31163499,Bogotá
99,2112452,GKB864,01/03/2024,Contado,72680405,,19/11/2023,1722879,61,27715973,Medellín
100,2626664,TSP277,12/04/2022,Leasing,108335543,,20/01/2022,1067444,32,31155350,Ibagué
101,6832908,EFR924,18/04/2023,Credito,62810912,Preferencial,04/02/2023,4257573,42,4647480,Medellín
102,1234814,HOS495,31/05/2024,Leasing,84042874,,17/04/2024,6245097,29,14085207,Cali
103,2470858,OGW984,23/05/2022,Contado,129617050,,14/02/2022,1633388,46,27447544,Cartagena
104,9262459,CIU380,26/03/2024,Credito,36422739,Preferencial,16/02/2024,1644623,32,28642588,Medellín
105,5917276,IML403,03/06/2021,Contado,84494258,,11/04/2021,9464404,36,2631966,Medellín
106,9914051,UHR742,01/03/2022,Leasing,61243724,,11/11/2021,1725099,61,9849479,Medellín
107,7741973,SIF024,11/12/2024,Contado,106647484,,23/09/2024,3535894,50,13832751,Medellín
108,7365484,CKN714,29/06/2023,Leasing,91071542,,05/03/2023,8671598,29,13796029,Cali
109,7542203,WPA063,21/01/2023,Credito,106681660,Preferencial,10/12/2022,3754607,61,23202399,Medellín
110,9160979,AAV077,11/05/2023,Credito,148543706,General,27/01/2023,6956224,24,15659998,Cartagena
111,2721905,ZTI289,04/04/2024,Contado,185593418,,30/01/2024,4362202,33,32618039,Cartagena
112,5866671,BYJ026,25/02/2021,Leasing,50913556,,05/11/2020,6664416,48,21064644,Cali
113,7222794,FNF506,06/12/2021,Contado,43630916,,02/09/2021,9488757,35,18743236,Cartagena
114,9370254,RGJ897,11/02/2024,Contado,61690233,,10/11/2023,5102498,35,11708977,Pereira
115,7166129,KXW313,18/07/2023,Leasing,112025224,,10/04/2023,5664544,27,19626980,Ibagué
116,9692546,VXW060,17/02/2024,Leasing,101225167,,10/01/2024,5527085,60,27317469,Cartagena
117,2258594,HAJ485,14/10/2023,Credito,123316933,General,11/09/2023,8799276,47,25594672,Cali
118,3915117,YKI889,22/06/2022,Credito,150869460,General,19/05/2022,7974484,59,29650528,Cali
119,8896551,FTQ308,06/08/2023,Credito,80915871,Preferencial,28/05/2023,5142659,48,27167836,Medellín
120,6212884,LQN786,29/09/2023,Credito,41979700,Preferencial,08/07/2023,5275942,35,9691750,Barranquilla
121,7479178,FCP655,22/09/2023,Contado,92851764,,25/06/2023,5010511,40,19117617,Soledad
122,8722370,QAR022,25/07/2021,Leasing,49582874,,13/04/2021,9401087,30,6730787,Ibagué
123,8810721,PKX979,03/03/2022,Contado,70243738,,01/12/2021,4115684,28,26053778,Medellín
124,9322162,RGE333,05/12/2021,Leasing,42635551,,10/10/2021,9423175,42,17188734,Ibagué
125,4490994,KNH928,07/12/2022,Leasing,133357243,,18/10/2022,7916862,26,10706681,Barranquilla
126,6075322,CRL046,11/12/2021,Credito,74251734,General,23/08/2021,3709912,25,32665808,Cartagena
127,2443982,SGC962,19/10/2021,Credito,135481714,General,05/09/2021,4558177,42,26066480,Bogotá
128,4780874,WSF280,02/07/2022,Leasing,74732096,,11/03/2022,1183653,48,30896417,Soledad
129,2087097,XEU740,31/03/2022,Leasing,105718450,,26/12/2021,8949147,42,11381336,Medellín
130,5472055,JOL148,03/09/2022,Credito,77817131,Premium,11/05/2022,8526375,62,6627387,Cartagena
131,1030013,BHQ712,24/03/2023,Credito,41678413,Preferencial,28/01/2023,7560643,36,28434344,Bogotá
132,6528210,NWD832,05/09/2023,Contado,71642724,,09/07/2023,5579088,27,6923526,Medellín
133,1525599,YJZ127,08/07/2021,Contado,39668293,,22/03/2021,2013797,30,16620928,Cali
134,9827955,ATW758,18/09/2024,Contado,127012069,,02/07/2024,8959216,59,3675012,Bucaramanga
135,4877522,LWU113,22/03/2023,Leasing,199386974,,31/12/2022,6454246,40,3922150,Medellín
136,2717391,CNM538,23/12/2023,Contado,133069764,,14/10/2023,8130869,65,26533459,Bucaramanga
137,6307892,DPH385,25/11/2023,Contado,147042412,,15/08/2023,4381733,39,9091014,Bogotá
138,1242060,IKK173,10/10/2023,Credito,44614579,General,03/08/2023,7778583,39,7150610,Bogotá
139,4533918,JXS530,06/05/2024,Credito,135372707,General,21/02/2024,8932245,50,31897820,Bogotá
140,1672915,HUF324,30/07/2022,Leasing,69871564,,06/04/2022,3272204,38,21609491,Cali
141,4733756,XLL261,09/08/2024,Credito,65816619,Premium,01/05/2024,3187934,62,28621161,Bogotá
142,4605938,UUX870,07/08/2024,Contado,82130027,,30/06/2024,1147260,39,23802231,Medellín
143,4104475,HGS698,28/03/2021,Credito,79830164,Preferencial,10/01/2021,9436414,27,6293013,Cali
144,2714794,GCD236,28/04/2024,Leasing,62863410,,20/03/2024,2311246,25,28156161,Cartagena
145,5829421,AVD275,25/02/2021,Credito,148693479,Preferencial,21/11/2020,2758923,28,16308020,Medellín
146,6678352,PYE376,06/04/2022,Leasing,46121590,,30/01/2022,4028480,38,4944407,Soacha
147,2575440,SWH227,22/01/2022,Contado,75970094,,03/12/2021,8329515,30,28711719,Medellín
148,3084821,TLM297,25/04/2021,Credito,50334147,Preferencial,13/02/2021,4779321,59,11795969,Medellín
149,6915930,CLI006,01/03/2022,Leasing,38575033,,20/01/2022,4754098,64,29050516,Soacha
150,7734496,EQT233,15/10/2021,Credito,53594999,Preferencial,06/09/2021,8240309,64,32842362,Cartagena
151,1499371,HGN881,11/04/2021,Leasing,134536924,,06/02/2021,1028905,52,15454272,Cali
152,6327156,IZT862,25/04/2024,Contado,38301863,,25/02/2024,6475384,40,31610862,Cartagena
153,8060125,HKK678,21/07/2024,Contado,125361634,,04/04/2024,8799500,57,15408519,Medellín
154,4622719,PPQ170,12/04/2024,Contado,90907491,,23/01/2024,1995094,47,25764416,Villavicencio
155,8721321,XMU704,03/02/2023,Credito,121429848,Preferencial,07/12/2022,8053926,51,16471373,Soacha
156,9967208,HPB815,21/12/2024,Credito,22602445,Premium,27/08/2024,1396985,57,9328748,Ibagué
157,3511634,PGP989,12/11/2023,Leasing,117745932,,18/07/2023,5567788,61,20772394,Bucaramanga
158,4535979,GIL836,21/06/2021,Leasing,146013280,,18/05/2021,9067578,29,24140481,Cartagena
159,7685655,FRO451,29/12/2024,Leasing,185464412,,17/11/2024,6309727,48,11643925,Bogotá
160,7581339,LBB288,01/11/2023,Contado,44645378,,27/08/2023,5683844,64,31418974,Bogotá
161,5943521,XXG978,06/03/2024,Credito,137808304,General,16/11/2023,2299933,29,4104557,Cartagena
162,3023664,DXW259,07/03/2023,Contado,53669967,,30/01/2023,5016784,61,2335325,Medellín
163,8573918,HFN021,04/07/2021,Contado,144034586,,29/04/2021,1455250,38,29296935,Soacha
164,1318641,WFT295,16/02/2023,Contado,59720718,,10/12/2022,8787739,22,20127314,Bogotá
165,3787856,HRK827,05/11/2021,Leasing,86295090,,09/09/2021,2445361,49,23378458,Cali
166,5423301,GTQ804,18/12/2024,Contado,56245885,,15/09/2024,2684054,39,20566840,Soacha
167,5929821,RZV830,30/06/2022,Contado,93147042,,14/03/2022,5825829,59,14391232,Bogotá
168,4964798,RUV556,23/07/2022,Contado,110954095,,29/04/2022,1811396,42,5244232,Cartagena
169,7960519,GIF769,02/09/2023,Leasing,37804781,,25/05/2023,1399453,25,17945982,Cúcuta
170,5981297,JMD446,15/04/2024,Contado,75482269,,20/02/2024,9158614,59,32989678,Bogotá
171,9551129,EOL531,15/08/2023,Leasing,142801456,,25/05/2023,6695956,28,17171013,Barranquilla
172,2147729,XEF526,07/11/2023,Contado,41291766,,05/10/2023,8162305,54,26912569,Villavicencio
173,9913312,AGO392,26/10/2022,Leasing,100698225,,15/09/2022,9762480,59,19081801,Medellín
174,4855682,NEF315,10/03/2022,Leasing,100791771,,25/12/2021,6430163,46,26049478,Soledad
175,9317856,SDV043,17/05/2022,Contado,111415545,,27/01/2022,5482761,67,21521112,Bogotá
176,3277341,OGC293,05/10/2021,Contado,55172097,,30/08/2021,4524135,49,17928679,Barranquilla
177,8886611,GNN658,01/12/2024,Leasing,41679287,,27/09/2024,6992040,48,2258145,Santa Marta
178,4465507,ESS967,15/02/2024,Credito,85100085,Preferencial,07/12/2023,6445939,62,12028338,Cali
179,8632259,IGB021,03/01/2023,Credito,83924025,General,09/09/2022,9381610,40,16543576,Bogotá
180,1265788,LEE003,24/11/2021,Leasing,39472435,,17/10/2021,4447852,57,30151877,Bogotá
181,2129261,VED942,24/04/2022,Contado,78278456,,25/02/2022,6731371,40,28690899,Medellín
182,7856204,FRD892,10/12/2021,Contado,42300428,,08/10/2021,7193237,46,6584585,Bogotá
183,3856939,NEA695,08/01/2024,Credito,138434870,General,04/12/2023,2762190,40,8552736,Medellín
184,9830257,TLL915,30/11/2023,Credito,138415408,Preferencial,12/08/2023,5576837,32,29186709,Bogotá
185,4599129,OXB852,24/03/2023,Credito,102105663,General,16/01/2023,6288167,54,28333923,Ibagué
186,5728185,XZV313,20/06/2022,Contado,128992674,,03/03/2022,6939938,36,4259209,Bogotá
187,5919882,CSZ653,01/05/2021,Credito,137158907,Preferencial,08/01/2021,4070331,54,7517047,Medellín
188,9540986,JDG018,18/11/2023,Contado,111024908,,30/09/2023,5298747,54,30417863,Barranquilla
189,9733079,XGU181,31/05/2024,Credito,80517550,Preferencial,12/03/2024,1177192,57,21624934,Bogotá
190,9093930,GQN722,16/05/2023,Credito,76857374,Preferencial,09/04/2023,8690584,39,13890606,Cali
191,2104279,MPN556,03/09/2024,Leasing,127013037,,26/07/2024,9428261,38,17412671,Bogotá
192,9828911,FQS104,22/12/2022,Credito,107444733,Premium,17/11/2022,7982980,63,26045177,Medellín
193,6162157,GHS716,30/04/2024,Contado,115418762,,21/01/2024,6468294,47,32412254,Cúcuta
194,7083503,CNP767,26/05/2023,Credito,115524342,Preferencial,05/04/2023,1634560,50,24409900,Soacha
195,4256904,BLW707,03/11/2022,Leasing,53105421,,06/09/2022,7287325,22,3132195,Medellín
196,5374068,DZY221,13/03/2024,Credito,192921683,Preferencial,29/12/2023,6365253,49,21327597,Soacha
197,8784518,KUZ843,28/04/2024,Contado,142026430,,09/01/2024,5180670,22,13115016,Medellín
198,6809955,QMX790,17/12/2021,Contado,70455853,,23/08/2021,1379431,45,28200702,Barranquilla
199,6004205,SUM755,10/12/2024,Credito,90441979,Premium,21/10/2024,6719958,57,28786049,Medellín
200,3796862,RFO449,12/11/2021,Credito,110187617,Preferencial,17/07/2021,8047128,45,25746308,Bogotá
201,9926251,NOB238,12/11/2022,Credito,144763638,General,03/10/2022,5342974,54,24461254,Bogotá
202,3905194,TXG103,16/05/2021,Leasing,123740080,,03/02/2021,9365926,57,32859076,Cali
203,8191044,JKW183,09/10/2022,Credito,120616467,Premium,23/06/2022,5805048,45,26287139,Cali
204,3689213,OWE922,24/08/2023,Leasing,82185064,,03/06/2023,7474930,65,18397991,Bucaramanga
205,6959055,KRO639,01/12/2022,Leasing,117440161,,23/09/2022,2480268,31,12634568,Cali
206,9794861,XJG645,21/09/2021,Leasing,110364122,,14/08/2021,7391832,67,16211952,Cúcuta
207,6237988,FCZ970,20/12/2024,Credito,46504214,Premium,25/09/2024,2117868,41,18593672,Medellín
208,2622112,MJY644,30/08/2022,Credito,147116504,Preferencial,19/05/2022,7780565,67,4698721,Soledad
209,9695374,GYI398,04/11/2023,Credito,119867807,Preferencial,24/08/2023,9984590,54,17614414,Bogotá
210,5107136,KST674,14/04/2022,Credito,92344162,Premium,28/02/2022,8330447,63,24952284,Bogotá
211,2684880,CQP419,22/10/2022,Credito,144489717,Preferencial,26/08/2022,4817110,46,31654973,Soledad
212,7080458,XEA622,31/12/2021,Contado,71675931,,07/10/2021,4118400,29,22549394,Bogotá
213,9848354,IRP969,01/05/2021,Contado,162300200,,11/01/2021,9712570,45,18418137,Bogotá
214,3607440,EHP707,28/11/2022,Contado,144104014,,24/10/2022,3041534,67,22520429,Cali
215,2426838,EPZ011,26/08/2024,Leasing,74277592,,05/06/2024,2739944,25,21743981,Barranquilla
216,6776261,WCN215,11/08/2021,Leasing,85051046,,15/05/2021,2454367,37,2075893,Bogotá
217,2058841,HAP476,14/11/2024,Leasing,73768820,,05/10/2024,3617370,53,28827839,Cali
218,8791264,IZK078,14/04/2023,Leasing,122670718,,23/12/2022,2550105,61,30738052,Cali
219,6914709,BVI545,06/09/2021,Contado,144480027,,12/05/2021,2134083,37,15571422,Bogotá
220,9231378,IEI953,21/04/2021,Credito,49246701,General,18/01/2021,1097261,45,20324481,Bogotá
221,2283096,DUG180,15/12/2023,Credito,53648661,Premium,29/08/2023,9196161,49,10872232,Medellín
222,2330356,FQU379,01/04/2021,Credito,165844727,Premium,10/12/2020,2197431,22,15793626,Medellín
223,3856440,JDQ956,10/05/2023,Credito,102401142,Preferencial,25/02/2023,3945240,42,8174025,Bogotá
224,8252159,WLL531,03/10/2021,Leasing,149033539,,22/06/2021,9866849,62,12624339,Bogotá
225,1430893,KJX599,10/08/2024,Contado,113784382,,15/06/2024,2348002,54,8664176,Bucaramanga
226,5021322,ABL508,15/01/2024,Credito,108923022,Preferencial,20/10/2023,8030741,53,31476724,Barranquilla
227,7452537,JSK292,27/06/2023,Leasing,38424402,,11/05/2023,3525080,59,30611684,Cali
228,7101591,BUO757,08/08/2024,Credito,86553274,Premium,22/04/2024,6621547,34,24115892,Cali
229,8043735,TGW163,16/02/2022,Leasing,135816820,,22/10/2021,4069330,39,16372270,Bogotá
230,3974640,AIY640,04/01/2021,Leasing,61956632,,19/10/2020,6965190,57,12965690,Bogotá
231,5433413,VGM611,03/01/2024,Contado,89086041,,21/10/2023,7104524,46,21577735,Bogotá
232,8172200,YWN487,18/01/2023,Leasing,121578041,,17/12/2022,3984611,40,31990231,Cúcuta
233,1703748,UOA455,26/09/2024,Leasing,59503714,,31/05/2024,6279013,31,13640676,Bogotá
234,5015260,ZAE170,28/11/2023,Contado,153479947,,07/10/2023,4436013,43,19496565,Soacha
235,8153315,IMR649,25/04/2023,Leasing,58355284,,04/01/2023,6363582,35,9832690,Bogotá
236,7769763,YJT040,30/06/2024,Contado,67423146,,17/05/2024,7460081,64,27909536,Bogotá
237,2330203,GOP533,04/10/2022,Contado,79446984,,03/08/2022,9167260,43,19576101,Bogotá
238,9649639,MVM683,16/03/2022,Contado,120187972,,05/12/2021,7821154,55,28370482,Cali
239,6560553,WLG756,09/09/2021,Credito,120363648,Premium,03/06/2021,3996405,27,10022099,Barranquilla
240,9455956,MAM247,16/12/2021,Credito,130189113,Preferencial,23/10/2021,8620787,27,27602975,Ibagué
241,4332246,PLO627,10/09/2024,Leasing,138617948,,04/08/2024,4453903,38,5808399,Barranquilla
242,5296347,VRT736,08/07/2021,Contado,91225000,,12/05/2021,9805563,47,28112187,Cartagena
243,1023876,UXY787,10/05/2023,Credito,38555865,General,02/02/2023,3025087,28,18440638,Bogotá
244,9458178,OGE669,15/12/2021,Leasing,176795989,,20/10/2021,6203406,53,11712118,Cartagena
245,3148757,NQD310,21/10/2024,Leasing,78985851,,18/07/2024,1628208,51,9144586,Barranquilla
246,4538398,OZI471,04/02/2022,Leasing,40005994,,04/12/2021,4359720,46,4106810,Bogotá
247,8099519,CIN494,09/08/2024,Leasing,118154784,,22/05/2024,5497556,50,32620615,Bucaramanga
248,2272327,XMW903,09/10/2022,Contado,199132417,,24/08/2022,4486837,59,22182939,Cali
249,2288429,MXL465,10/05/2021,Credito,165645980,Premium,09/04/2021,8265160,60,25621887,Cartagena
250,4799500,BBE361,20/12/2021,Leasing,132417997,,03/10/2021,6377113,53,18220009,Bogotá
251,9733252,IEX144,15/02/2022,Credito,87082880,Preferencial,20/12/2021,6540236,60,21787982,Bogotá
252,8282726,YXT031,22/01/2023,Leasing,94499441,,17/10/2022,7337235,33,6162654,Bucaramanga
253,8667481,OOS020,28/06/2024,Contado,23559983,,24/05/2024,8254981,65,26649032,Cali
254,9620677,XGE038,15/05/2023,Credito,109504103,Premium,02/03/2023,5948550,48,20211532,Cartagena
255,1896384,ZUX293,22/11/2022,Credito,99041304,General,12/09/2022,1380781,56,10440527,Soledad
256,7692218,KQR085,15/07/2022,Leasing,143918054,,25/04/2022,8747349,66,15476988,Medellín
257,5170634,LBV002,18/05/2021,Contado,43543740,,16/02/2021,4698329,41,16404458,Soacha
258,2844766,CIA750,02/04/2023,Credito,118879440,General,10/01/2023,2727371,59,10251965,Cali
259,3918464,HLI537,31/05/2021,Contado,48886284,,30/03/2021,4462524,61,9750370,Soledad
260,2343929,DGI961,10/07/2022,Credito,142986596,Premium,27/03/2022,6186862,31,7126680,Bogotá
261,5070657,BTV433,12/05/2021,Credito,56177843,General,16/01/2021,5586501,49,15104913,Pereira
262,9220388,KNT588,24/10/2024,Leasing,60100228,,23/08/2024,6846494,30,30260513,Soledad
263,2872760,WWM242,11/10/2023,Credito,97267613,General,05/07/2023,3617598,55,23444164,Barranquilla
264,3918873,FQP194,19/05/2023,Leasing,86267212,,13/02/2023,4354295,56,28408608,Cúcuta
265,6787978,OFR193,30/03/2021,Credito,102689349,General,23/02/2021,4753418,36,15379033,Cali
266,6896871,OQQ610,05/02/2022,Credito,50442793,Preferencial,29/12/2021,8034270,28,18896565,Bucaramanga
267,5354840,ZKG419,06/11/2023,Leasing,117179712,,01/09/2023,6357691,26,11341473,Cali
268,9229899,MAS938,05/09/2021,Contado,148539109,,23/05/2021,1537799,61,5751613,Villavicencio
